Name,Age,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,WAR
Keegan Akin,27.00,0.23,0.28,0.38,0.65,0.27,0.03,0.23,0.06,87.10,0.38,0.25,0.49,0.22,0.97,0.60,0.00,5.30,0.80
Logan Allen,25.00,0.38,0.50,0.63,1.13,0.43,0.00,0.10,0.20,84.40,0.29,0.14,0.86,0.00,6.00,0.00,0.00,-1.70,-0.10
Bryan Baker,27.00,0.23,0.31,0.31,0.62,0.31,0.01,0.26,0.09,89.20,0.41,0.27,0.41,0.22,0.72,-0.30,0.00,5.70,1.20
Mike Baumann,26.00,0.31,0.36,0.45,0.81,0.36,0.02,0.15,0.06,91.30,0.46,0.21,0.50,0.21,1.00,-0.50,0.00,-1.50,0.10
Felix Bautista,27.00,0.17,0.25,0.29,0.54,0.23,0.03,0.35,0.09,86.50,0.37,0.23,0.43,0.23,0.75,3.00,0.01,19.50,2.60
Kyle Bradish,25.00,0.27,0.34,0.42,0.76,0.31,0.03,0.22,0.09,89.60,0.41,0.24,0.45,0.26,0.84,-0.30,0.00,-8.60,0.40
Yennier Cano,28.00,0.41,0.52,0.41,0.93,0.60,0.00,0.26,0.19,86.40,0.40,0.33,0.53,0.13,1.14,0.00,0.00,-4.50,-0.40
Marcos Diplan,25.00,0.18,0.33,0.23,0.56,0.29,0.00,0.30,0.19,88.20,0.43,0.36,0.43,0.14,0.75,-0.20,0.00,-1.00,0.10
Chris Ellis,29.00,0.28,0.48,0.28,0.76,0.31,0.00,0.08,0.24,83.70,0.06,0.19,0.50,0.31,1.00,-0.20,0.00,-2.70,-0.30
Paul Fry,29.00,0.21,0.34,0.35,0.69,0.26,0.02,0.22,0.13,94.60,0.53,0.25,0.66,0.09,1.91,0.30,0.00,-3.80,-0.20
Rico Garcia,28.00,0.25,0.31,0.47,0.78,0.21,0.06,0.06,0.09,90.90,0.47,0.13,0.30,0.33,0.43,0.00,0.00,0.40,0.00
Logan Gillaspie,25.00,0.29,0.34,0.41,0.75,0.33,0.01,0.14,0.04,88.70,0.44,0.39,0.37,0.22,0.59,0.00,0.00,-1.10,0.10
DL Hall,23.00,0.30,0.36,0.35,0.71,0.44,0.00,0.30,0.09,83.30,0.18,0.31,0.46,0.15,0.86,-0.30,0.00,-5.60,-0.20
Louis Head,32.00,0.29,0.42,0.33,0.76,0.33,0.00,0.11,0.15,92.80,0.44,0.39,0.39,0.06,0.64,-0.10,0.00,-1.20,0.10
Joey Krehbiel,29.00,0.24,0.30,0.43,0.74,0.26,0.04,0.18,0.07,86.80,0.34,0.24,0.42,0.28,0.73,-0.10,0.00,-1.30,0.30
Dean Kremer,26.00,0.26,0.32,0.39,0.71,0.30,0.02,0.17,0.07,87.90,0.39,0.24,0.39,0.28,0.66,1.10,0.01,13.00,2.80
Travis Lakins Sr.,28.00,0.33,0.42,0.63,1.05,0.34,0.06,0.16,0.12,92.10,0.37,0.26,0.34,0.31,0.52,-0.60,0.00,-8.00,-0.40
Jorge Lopez,29.00,0.17,0.26,0.27,0.53,0.23,0.02,0.28,0.09,86.70,0.30,0.19,0.60,0.18,1.50,0.40,0.00,11.30,1.90
Zac Lowther,26.00,0.35,0.39,0.48,0.87,0.33,0.00,0.04,0.07,89.00,0.46,0.17,0.46,0.29,0.85,-0.30,0.00,-4.90,-0.20
Jordan Lyles,31.00,0.28,0.33,0.45,0.78,0.31,0.03,0.19,0.07,88.30,0.39,0.23,0.40,0.28,0.67,-0.90,-0.01,-7.70,1.00
Ryan McKenna,25.00,0.71,0.60,0.86,1.46,0.56,0.00,0.00,0.10,93.80,0.44,0.33,0.22,0.44,0.29,0.00,0.00,-3.80,-0.10
John Means,29.00,0.26,0.29,0.29,0.58,0.32,0.00,0.21,0.06,88.50,0.42,0.28,0.36,0.20,0.56,0.00,0.00,0.70,0.20
Chris Owings,30.00,0.40,0.40,0.80,1.20,0.40,0.00,0.00,0.00,94.10,0.40,0.60,0.20,0.20,0.25,0.00,0.00,-0.50,0.00
Cionel Perez,26.00,0.22,0.29,0.28,0.57,0.28,0.01,0.24,0.09,88.70,0.40,0.26,0.51,0.20,1.05,2.20,0.01,15.30,2.80
Jake Reed,29.00,0.29,0.37,0.42,0.79,0.37,0.00,0.19,0.04,86.30,0.37,0.21,0.42,0.26,0.73,-0.70,0.00,-5.30,-0.40
Denyi Reyes,25.00,0.27,0.29,0.33,0.62,0.30,0.00,0.10,0.03,89.30,0.52,0.22,0.41,0.30,0.69,0.10,0.00,1.50,0.20
Cody Sedlock,27.00,0.40,0.44,0.53,0.97,0.50,0.00,0.19,0.06,90.20,0.67,0.25,0.50,0.25,1.00,0.00,0.00,-3.00,-0.10
Beau Sulser,28.00,0.32,0.36,0.54,0.90,0.36,0.04,0.17,0.06,85.80,0.39,0.20,0.51,0.20,1.05,-0.20,0.00,-0.70,0.10
Dillon Tate,28.00,0.21,0.27,0.34,0.62,0.25,0.02,0.21,0.06,87.10,0.38,0.22,0.59,0.19,1.43,1.50,0.01,16.90,1.30
Nick Vespi,26.00,0.28,0.34,0.51,0.85,0.34,0.05,0.25,0.07,87.70,0.40,0.33,0.41,0.23,0.70,0.60,0.00,0.90,0.30
Austin Voth,30.00,0.24,0.30,0.39,0.70,0.28,0.03,0.21,0.07,88.30,0.38,0.28,0.33,0.30,0.49,1.20,0.01,9.70,1.80
Spenser Watkins,29.00,0.28,0.33,0.42,0.76,0.31,0.02,0.14,0.07,89.50,0.38,0.26,0.42,0.25,0.73,-0.40,0.00,-8.00,0.10
Alex Wells,25.00,0.31,0.31,0.75,1.06,0.38,0.13,0.38,0.00,93.20,0.60,0.10,0.40,0.40,0.67,0.00,0.00,0.40,0.00
Tyler Wells,27.00,0.23,0.29,0.41,0.69,0.25,0.04,0.18,0.07,87.70,0.39,0.21,0.37,0.29,0.59,-0.20,0.00,1.60,1.20
Bruce Zimmermann,27.00,0.32,0.35,0.61,0.96,0.32,0.07,0.15,0.04,90.50,0.43,0.26,0.39,0.28,0.65,-1.10,0.00,-15.50,-0.80
